loan_id,customer_id,origination_date,original_principal_eur,interest_rate_pct,term_months,monthly_payment_eur,outstanding_balance_eur,days_past_due,loan_status,default_flag,customer_risk_score
L00182,C00373,2026-03-24,7800,9.74,60,164.73,7181.55,0,Current,0,639
L00183,C02210,2023-07-21,19100,4.63,48,436.67,4317.23,0,Current,0,845
L00184,C01946,2026-05-23,12900,5.34,24,567.91,11581.69,0,Current,0,762
L00185,C00915,2023-08-23,3200,7.55,48,77.45,888.84,0,Current,0,618
L00186,C00924,2026-07-26,10300,7.45,60,206.15,10129.75,0,Current,0,732
L00187,C01471,2026-03-11,16400,6.14,72,272.88,15378.67,0,Current,0,666
L00188,C02124,2024-01-20,12600,6.6,60,247.12,6790.07,0,Current,0,805
L00189,C01707,2026-07-22,31000,12.08,72,607.35,30606.41,0,Current,0,535
L00190,C00901,2026-04-13,28000,10.08,24,1293.09,24305.01,0,Current,0,665
L00191,C00052,2026-04-12,33500,6.29,72,559.79,31902.76,0,Current,0,614
L00192,C01363,2024-05-03,11000,7.26,48,264.74,5658.85,0,Current,0,728
L00193,C00888,2025-03-31,23400,3.99,36,690.76,13940.77,0,Current,0,850
L00194,C01880,2022-02-13,6400,8.3,48,157.15,1072.91,0,Current,0,684
L00195,C00873,2023-04-11,18200,9.18,24,832.97,3853.48,0,Current,0,636
L00196,C01673,2026-05-12,14300,7.38,48,344.96,13594.35,0,Current,0,666
L00197,C00945,2023-10-31,11700,5.0,72,188.43,6950.3,0,Current,0,791
L00198,C00468,2024-05-22,44000,6.45,60,859.88,25728.92,0,Current,0,718
L00199,C00439,2026-05-11,17500,8.36,36,551.3,16170.9,0,Current,0,652
L00200,C00380,2025-03-08,20200,6.79,48,481.75,13675.05,0,Current,0,692
L00201,C00574,2022-09-17,25100,10.08,60,534.29,6984.92,15,Late,0,593
L00202,C01803,2026-01-04,18600,9.08,48,463.57,15998.73,0,Current,0,673
L00203,C00793,2025-04-05,19500,8.12,24,883.0,8637.75,0,Current,0,589
L00204,C02016,2026-02-15,17500,6.55,48,415.42,15411.73,0,Current,0,655
L00205,C02219,2021-05-23,44500,7.47,36,1383.61,7133.87,0,Current,0,741
L00206,C00790,2025-01-23,5200,8.56,24,236.51,1318.26,0,Current,0,648
L00207,C00276,2023-05-06,15500,6.8,72,262.77,7165.89,0,Current,0,628
L00208,C00241,2024-03-08,2900,7.04,60,57.48,1492.44,0,Current,0,652
L00209,C01824,2026-01-16,36600,11.42,24,1712.99,26291.82,0,Current,0,621
L00210,C02431,2026-07-20,32300,7.07,60,640.65,31803.86,0,Current,0,730
L00211,C01352,2026-02-01,11400,6.41,60,222.57,10238.35,0,Current,0,648
L00212,C00354,2025-09-10,19500,10.05,48,495.04,15182.58,0,Current,0,646
L00213,C01240,2022-06-28,13700,8.86,60,283.46,3794.55,0,Current,0,724
L00214,C01480,2026-04-14,20400,8.69,72,364.59,19479.43,0,Current,0,568
L00215,C01742,2022-01-15,32900,7.58,48,796.71,987.0,0,Current,0,709
L00216,C01582,2026-02-22,14400,5.63,36,435.67,12062.57,0,Current,0,661
L00217,C00809,2026-07-05,19700,5.53,36,595.13,19171.37,0,Current,0,801
L00218,C00559,2023-09-24,8200,8.92,72,147.48,4613.91,0,Current,0,700
L00219,C02223,2023-02-13,44600,5.99,24,1976.5,6811.54,0,Current,0,712
L00220,C01188,2024-09-17,35600,5.47,36,1074.49,17393.79,0,Current,0,585
L00221,C01986,2025-09-15,17300,11.2,36,568.02,12249.22,0,Current,0,592
L00222,C01120,2021-04-08,3000,6.25,36,91.61,139.48,0,Current,0,643
L00223,C00815,2025-02-24,29400,7.06,24,1317.11,7892.57,0,Current,0,675
L00224,C02303,2025-09-06,11200,6.25,48,264.32,9040.61,0,Current,0,757
L00225,C00007,2025-02-18,15800,7.46,48,381.73,10291.93,0,Current,0,687
L00226,C01878,2026-06-08,24700,9.4,36,790.06,23497.14,0,Current,0,591
L00227,C00138,2026-05-11,20900,7.49,48,505.24,19738.75,0,Current,0,573
L00228,C00548,2025-01-10,31800,4.92,36,951.93,14746.19,0,Current,0,658
L00229,C02052,2026-06-02,34800,8.94,48,865.01,33355.43,0,Current,0,643
L00230,C00211,2023-03-30,22300,8.38,60,456.23,9545.24,0,Current,0,671
L00231,C01895,2023-09-12,9600,7.12,60,190.64,5067.57,0,Current,0,631
L00232,C02079,2021-03-10,29300,7.88,60,592.42,1503.95,0,Current,0,630
L00233,C00125,2025-02-05,7600,8.5,24,345.46,2645.3,0,Current,0,678
L00234,C02080,2022-12-24,44200,4.87,24,1936.54,8646.66,0,Current,0,698
L00235,C01132,2026-01-12,4000,5.54,36,120.86,3367.17,0,Current,0,667
L00236,C01283,2025-07-31,10400,7.6,24,468.47,5836.18,0,Current,0,652
L00237,C00217,2024-10-29,35500,7.46,60,710.67,23356.16,0,Current,0,612
L00238,C02427,2026-04-19,9700,6.6,48,230.48,8885.76,0,Current,0,655
L00239,C01290,2022-08-30,16700,8.42,36,526.56,1904.89,0,Current,0,585
L00240,C00172,2026-04-13,24500,7.03,48,587.02,22795.84,0,Current,0,560
L00241,C00610,2025-07-09,28000,8.23,60,570.83,22975.28,0,Current,0,584
L00242,C01389,2025-10-30,19200,3.77,60,351.61,16387.45,0,Current,0,737
L00243,C01070,2026-02-20,12200,7.8,24,550.66,9298.57,0,Current,0,721
L00244,C02259,2026-04-24,15900,7.45,48,384.07,14589.09,0,Current,0,638
L00245,C01532,2026-05-25,10500,8.33,48,257.97,9884.25,0,Current,0,645
L00246,C02150,2025-10-24,5300,9.28,36,169.23,4006.83,0,Current,0,702
L00247,C00649,2025-08-07,6200,4.23,72,97.65,5270.37,0,Current,0,747
L00248,C02048,2024-08-07,16800,5.76,72,276.53,12350.36,0,Current,0,719
L00249,C01337,2025-12-12,23700,4.46,36,704.58,18907.07,0,Current,0,850
L00250,C02132,2024-03-03,16100,6.48,48,381.66,7747.7,0,Current,0,712
L00251,C00766,2021-01-18,22700,9.41,36,726.19,2385.65,0,Current,0,711
L00252,C02391,2026-05-08,12700,6.24,60,246.95,12167.48,0,Current,0,734
L00253,C02251,2026-04-13,35300,7.96,72,618.23,33325.28,0,Current,0,598
L00254,C01664,2024-03-31,18800,7.58,24,846.68,630.32,0,Current,0,656
L00255,C01603,2023-12-10,43200,7.89,24,1951.65,8556.61,0,Current,0,656
L00256,C01143,2026-04-26,10000,9.3,24,458.23,8554.85,0,Current,0,535
L00257,C01191,2022-10-26,27200,7.43,72,469.37,11506.85,0,Current,0,631
L00258,C00377,2022-12-20,16200,6.58,36,497.1,1552.78,0,Current,0,727
L00259,C02438,2024-07-03,4500,6.51,60,88.07,2704.2,0,Current,0,593
L00260,C01300,2026-07-28,11800,6.96,60,233.43,11638.11,0,Current,0,714
L00261,C00482,2024-12-08,8800,5.55,24,388.24,1954.52,0,Current,0,764
L00262,C01897,2022-12-04,20900,8.37,36,658.5,1248.38,0,Current,0,720
L00263,C00905,2025-10-25,27400,5.78,24,1211.67,17996.25,0,Current,0,725
L00264,C00851,2025-09-09,29200,8.23,60,595.29,23924.55,0,Current,0,557
L00265,C01128,2022-12-31,9900,8.78,60,204.45,3998.0,0,Current,0,666
L00266,C02480,2026-05-29,13500,6.18,36,411.8,12575.84,0,Current,0,698
L00267,C01286,2026-02-20,33500,8.69,60,690.38,30093.02,0,Current,0,794
L00268,C00487,2025-09-25,11300,8.68,60,232.82,9565.72,0,Current,0,712
L00269,C01065,2026-05-15,13100,7.96,48,319.56,12323.41,0,Current,0,563
L00270,C02485,2022-05-09,23400,9.76,60,494.42,4622.85,0,Current,0,568
L00271,C00401,2026-05-23,26100,8.73,48,646.16,24598.59,0,Current,0,796
L00272,C01384,2025-08-26,12100,8.66,72,216.07,10418.92,0,Current,0,718
L00273,C00568,2021-12-19,36900,4.82,60,693.31,6781.81,0,Current,0,648
L00274,C01449,2026-07-03,25300,6.46,36,774.96,24651.85,0,Current,0,639
L00275,C01967,2025-10-14,33400,5.74,72,549.44,28918.78,0,Current,0,774
L00276,C01021,2025-08-03,19400,9.76,60,409.91,16237.51,0,Current,0,710
L00277,C01439,2026-01-13,30700,9.87,48,776.72,26460.9,0,Current,0,666
L00278,C02268,2026-03-21,24900,5.64,48,580.68,22650.15,0,Current,0,596
L00279,C00381,2023-10-27,14200,7.72,72,247.04,7460.75,0,Current,0,734
L00280,C02148,2024-12-04,33800,7.87,24,1526.68,11007.02,0,Current,0,652
L00281,C02428,2024-05-02,10900,6.13,60,211.39,6092.43,0,Current,0,692
L00282,C00316,2025-09-04,28900,5.92,24,1279.82,17968.6,0,Current,0,733
L00283,C02169,2025-02-18,5700,7.07,24,255.38,1798.78,0,Current,0,657
L00284,C00884,2024-06-25,2900,5.32,24,127.64,195.73,0,Current,0,751
L00285,C00303,2022-02-24,12500,5.43,24,550.8,2295.16,0,Current,0,668
L00286,C00742,2025-07-23,6300,7.94,48,153.62,4656.81,0,Current,0,632
L00287,C01067,2024-08-01,20300,4.98,36,608.23,7627.65,0,Current,0,637
L00288,C01745,2021-07-28,11600,6.34,48,274.24,2216.0,0,Current,0,812
L00289,C01497,2026-06-25,21400,6.18,48,504.35,20670.72,0,Current,0,637
L00290,C01196,2021-06-05,20500,7.69,60,412.63,3936.29,0,Current,0,613
L00291,C01691,2023-12-30,36100,8.36,60,738.21,18011.91,0,Current,0,708
L00292,C01699,2026-03-10,43400,8.33,72,767.95,40592.33,0,Current,0,704
L00293,C00013,2023-03-27,13900,7.41,36,431.8,1478.98,0,Current,0,685
L00294,C01272,2026-02-04,7500,7.83,72,130.88,6896.89,0,Current,0,759
L00295,C00536,2023-08-31,27300,10.34,24,1264.04,980.07,0,Current,0,576
L00296,C02164,2025-10-15,35900,7.41,24,1614.02,22271.35,0,Current,0,666
L00297,C01485,2026-02-19,36600,5.73,24,1617.69,28018.81,0,Current,0,716
L00298,C00631,2025-02-13,2800,4.57,24,122.3,1026.71,0,Current,0,640
L00299,C00263,2023-04-02,7200,6.17,72,119.9,3642.74,0,Current,0,787
L00300,C00941,2026-05-27,6100,9.13,24,279.04,5338.22,0,Current,0,781
L00301,C01784,2023-08-27,5800,7.81,72,101.16,3330.77,0,Current,0,666
L00302,C00027,2025-01-29,11500,6.55,72,193.59,8488.57,0,Current,0,707
L00303,C02031,2025-07-29,17400,8.87,48,431.93,13699.14,0,Current,0,646
L00304,C01517,2026-03-07,19200,8.81,48,476.06,17613.81,0,Current,0,629
L00305,C01998,2021-06-20,17000,7.94,24,768.4,3562.11,0,Current,0,678
L00306,C02253,2025-05-10,5900,4.83,36,176.38,3907.56,0,Current,0,727
L00307,C01409,2025-03-11,35800,5.21,72,580.05,27644.31,0,Current,0,723
L00308,C00867,2022-06-20,7800,6.36,72,130.6,3036.23,0,Current,0,664
L00309,C01047,2025-11-21,21600,7.55,24,972.48,13472.19,0,Current,0,688
L00310,C00379,2026-02-12,5300,6.54,72,89.19,4902.47,0,Current,0,645
L00311,C00885,2025-10-09,14800,6.88,60,292.22,12428.04,0,Current,0,701
L00312,C00026,2024-06-07,4400,7.52,72,76.12,3050.03,0,Current,0,715
L00313,C02473,2026-07-17,29700,4.91,60,559.25,29205.09,0,Current,0,777
L00314,C01896,2025-03-11,3800,6.95,36,117.25,2301.9,0,Current,0,547
L00315,C00698,2022-12-06,2700,9.18,72,48.91,1379.23,0,Current,0,726
L00316,C01615,2024-09-20,26700,6.04,24,1183.84,2530.07,0,Current,0,738
L00317,C00634,2026-07-01,31800,7.85,48,774.09,31215.74,0,Current,0,692
L00318,C01886,2025-09-16,5700,10.74,48,146.6,4445.47,0,Current,0,553
L00319,C00874,2025-04-13,10400,6.49,24,463.23,3604.97,0,Current,0,671
L00320,C01061,2026-06-11,13800,9.02,60,286.6,13436.05,0,Current,0,651
L00321,C01656,2025-10-09,31800,6.95,48,760.75,26227.92,0,Current,0,600
L00322,C02478,2024-05-22,15100,7.04,36,466.52,5773.67,0,Current,0,658
L00323,C01565,2024-08-21,6500,3.5,60,118.25,4237.35,0,Current,0,850
L00324,C02115,2026-05-25,33100,6.77,72,560.67,31705.33,0,Current,0,659
L00325,C01144,2022-05-10,14000,5.73,48,327.06,605.94,0,Current,0,709
L00326,C02242,2026-04-28,5000,7.17,60,99.41,4713.93,0,Current,0,689
L00327,C00651,2026-04-16,13100,6.46,60,256.07,12376.75,0,Current,0,679
L00328,C01301,2026-06-25,13200,7.14,24,591.84,12301.09,0,Current,0,766
L00329,C02341,2023-11-21,6700,12.8,36,225.1,1437.99,0,Current,0,540
