account_id,customer_id,account_type,opening_date,status,credit_limit_eur,interest_rate_pct,opening_balance_eur
A000213,C00134,Current Account,2026-02-17,Closed,0,0.0,5090.33
A000214,C00135,Current Account,2025-10-19,Active,0,0.0,254.46
A000215,C00136,Current Account,2025-04-22,Active,0,0.0,4789.39
A000216,C00136,Savings Account,2021-10-23,Active,0,1.66,14162.33
A000217,C00137,Savings Account,2025-05-14,Active,0,1.04,10210.55
A000218,C00137,Current Account,2025-12-24,Active,0,0.0,1116.08
A000219,C00138,Current Account,2026-07-10,Active,0,0.0,2120.8
A000220,C00139,Current Account,2025-10-08,Active,0,0.0,750.2
A000221,C00139,Savings Account,2025-04-19,Active,0,1.18,4076.8
A000222,C00140,Current Account,2020-05-08,Active,0,0.0,183.1
A000223,C00141,Current Account,2025-09-23,Active,0,0.0,2220.89
A000224,C00142,Savings Account,2020-06-03,Active,0,1.29,17703.02
A000225,C00143,Current Account,2022-04-23,Active,0,0.0,1286.25
A000226,C00143,Savings Account,2026-03-23,Active,0,0.96,8858.53
A000227,C00144,Current Account,2024-08-01,Active,0,0.0,-500
A000228,C00145,Current Account,2023-03-06,Active,0,0.0,825.02
A000229,C00146,Savings Account,2022-05-28,Dormant,0,1.93,43952.72
A000230,C00146,Current Account,2020-11-14,Active,0,0.0,6764.95
A000231,C00147,Current Account,2020-01-08,Active,0,0.0,4538.0
A000232,C00147,Credit Card,2025-12-24,Active,13600,18.22,-6277.38
A000233,C00148,Current Account,2025-06-23,Closed,0,0.0,2245.57
A000234,C00148,Savings Account,2026-06-14,Closed,0,1.39,10767.99
A000235,C00149,Savings Account,2026-02-13,Active,0,1.82,14279.51
A000236,C00149,Current Account,2024-06-17,Active,0,0.0,2235.11
A000237,C00150,Current Account,2025-10-27,Active,0,0.0,5727.05
A000238,C00150,Savings Account,2023-08-17,Closed,0,1.37,15324.5
A000239,C00151,Savings Account,2022-10-08,Active,0,1.65,11334.62
A000240,C00152,Current Account,2026-07-21,Active,0,0.0,3528.21
A000241,C00152,Savings Account,2026-07-16,Closed,0,1.2,1952.18
A000242,C00153,Current Account,2026-07-30,Active,0,0.0,8603.48
A000243,C00153,Savings Account,2026-07-14,Active,0,1.67,44085.39
A000244,C00154,Current Account,2024-02-07,Active,0,0.0,3850.71
A000245,C00154,Credit Card,2026-01-26,Closed,12000,21.32,-5087.23
A000246,C00155,Current Account,2020-10-26,Dormant,0,0.0,5239.87
A000247,C00155,Savings Account,2022-04-09,Active,0,1.03,7408.45
A000248,C00155,Credit Card,2021-04-14,Dormant,10900,20.09,-2176.79
A000249,C00156,Savings Account,2021-12-11,Dormant,0,1.93,34627.11
A000250,C00157,Savings Account,2026-01-05,Active,0,1.97,14808.89
A000251,C00157,Current Account,2025-12-06,Active,0,0.0,6664.57
A000252,C00158,Current Account,2026-02-21,Active,0,0.0,1454.17
A000253,C00159,Current Account,2025-05-13,Active,0,0.0,2428.95
A000254,C00159,Savings Account,2024-08-27,Active,0,1.69,33864.75
A000255,C00160,Current Account,2025-12-05,Active,0,0.0,4025.05
A000256,C00161,Current Account,2026-07-14,Active,0,0.0,9360.3
A000257,C00161,Credit Card,2023-12-16,Active,4700,16.54,-1480.94
A000258,C00162,Current Account,2025-01-16,Active,0,0.0,4223.19
A000259,C00162,Savings Account,2023-07-28,Active,0,1.84,14296.81
A000260,C00162,Credit Card,2022-06-03,Active,11700,19.35,-923.82
A000261,C00163,Current Account,2023-05-06,Active,0,0.0,4190.25
A000262,C00163,Savings Account,2024-05-21,Active,0,1.84,454.92
A000263,C00164,Savings Account,2023-05-09,Active,0,1.96,11011.37
A000264,C00164,Current Account,2026-04-04,Dormant,0,0.0,2153.21
A000265,C00165,Current Account,2026-05-29,Active,0,0.0,816.98
A000266,C00165,Savings Account,2026-02-05,Active,0,1.14,7473.93
A000267,C00166,Current Account,2024-05-10,Active,0,0.0,1014.04
A000268,C00167,Current Account,2026-05-15,Active,0,0.0,6346.92
A000269,C00167,Savings Account,2026-06-08,Active,0,0.81,13973.45
A000270,C00168,Current Account,2025-01-10,Active,0,0.0,2818.06
A000271,C00168,Savings Account,2022-08-11,Active,0,1.88,5655.86
A000272,C00169,Current Account,2026-03-10,Active,0,0.0,4394.44
A000273,C00169,Savings Account,2025-01-31,Active,0,0.95,25944.46
A000274,C00170,Savings Account,2023-12-13,Active,0,1.99,45245.13
A000275,C00171,Current Account,2023-09-08,Active,0,0.0,109.67
A000276,C00172,Current Account,2026-05-31,Active,0,0.0,5004.47
A000277,C00173,Savings Account,2023-12-06,Active,0,1.63,19232.43
A000278,C00174,Current Account,2025-04-27,Active,0,0.0,643.15
A000279,C00175,Current Account,2026-04-06,Active,0,0.0,2470.0
A000280,C00175,Savings Account,2023-06-20,Active,0,1.29,12653.87
A000281,C00176,Current Account,2025-06-17,Active,0,0.0,4427.9
A000282,C00177,Current Account,2025-10-07,Active,0,0.0,1107.45
A000283,C00178,Current Account,2025-09-15,Active,0,0.0,1256.69
A000284,C00178,Savings Account,2025-04-22,Active,0,0.86,5710.28
A000285,C00179,Current Account,2022-03-11,Dormant,0,0.0,3268.53
A000286,C00179,Credit Card,2020-10-10,Active,13300,17.21,-225.57
A000287,C00180,Current Account,2025-08-11,Active,0,0.0,4130.1
A000288,C00180,Savings Account,2024-11-09,Active,0,1.73,6235.4
A000289,C00180,Credit Card,2026-01-31,Active,3500,18.4,-86.34
A000290,C00181,Current Account,2022-03-20,Active,0,0.0,1758.92
A000291,C00182,Current Account,2026-05-20,Active,0,0.0,-500
A000292,C00182,Savings Account,2026-07-25,Active,0,2.08,14194.72
A000293,C00183,Savings Account,2023-12-05,Active,0,0.97,2516.9
A000294,C00184,Savings Account,2025-06-29,Active,0,1.95,7387.48
A000295,C00184,Current Account,2026-07-11,Active,0,0.0,2195.11
A000296,C00185,Current Account,2025-06-09,Active,0,0.0,2235.85
A000297,C00185,Savings Account,2025-07-30,Active,0,1.84,14024.2
A000298,C00185,Credit Card,2025-05-27,Active,6800,16.96,-1584.26
A000299,C00186,Current Account,2024-09-27,Active,0,0.0,4055.94
A000300,C00187,Savings Account,2023-11-09,Active,0,2.02,5602.92
A000301,C00187,Credit Card,2023-07-09,Active,4900,17.27,-1933.84
A000302,C00188,Current Account,2026-04-19,Active,0,0.0,4434.16
A000303,C00188,Savings Account,2024-04-15,Active,0,1.0,1276.35
A000304,C00189,Current Account,2022-04-16,Active,0,0.0,1102.37
A000305,C00190,Current Account,2026-04-16,Active,0,0.0,7220.19
A000306,C00190,Credit Card,2024-12-26,Active,8200,15.7,-342.09
A000307,C00191,Current Account,2025-09-17,Active,0,0.0,996.4
A000308,C00191,Credit Card,2025-03-31,Active,8700,19.61,-1849.53
A000309,C00192,Current Account,2023-10-27,Active,0,0.0,2051.56
A000310,C00192,Savings Account,2026-07-28,Active,0,1.94,6402.59
A000311,C00193,Savings Account,2021-07-20,Active,0,1.42,24159.61
A000312,C00193,Current Account,2025-11-28,Active,0,0.0,4395.96
A000313,C00193,Credit Card,2025-06-04,Dormant,6400,21.51,-32.79
A000314,C00194,Current Account,2025-07-06,Closed,0,0.0,3699.32
A000315,C00194,Savings Account,2025-02-16,Active,0,1.09,4522.22
A000316,C00195,Savings Account,2021-11-11,Active,0,2.01,14411.08
A000317,C00195,Credit Card,2023-07-27,Active,7700,16.74,0
A000318,C00196,Current Account,2021-09-25,Closed,0,0.0,3620.4
A000319,C00196,Savings Account,2026-04-02,Active,0,1.86,21949.92
A000320,C00197,Savings Account,2024-11-05,Dormant,0,1.79,8688.16
A000321,C00197,Current Account,2026-07-24,Active,0,0.0,1776.34
A000322,C00197,Credit Card,2025-07-06,Active,7000,16.67,-1206.4
A000323,C00198,Current Account,2024-01-24,Active,0,0.0,3889.04
A000324,C00199,Current Account,2024-10-09,Active,0,0.0,3465.33
A000325,C00200,Current Account,2026-02-09,Active,0,0.0,814.87
A000326,C00200,Savings Account,2024-06-06,Active,0,0.83,4754.99
A000327,C00201,Current Account,2024-12-30,Active,0,0.0,5377.34
A000328,C00201,Savings Account,2025-11-24,Active,0,1.23,14927.34
A000329,C00202,Savings Account,2022-10-07,Active,0,1.33,8496.46
A000330,C00203,Current Account,2024-09-07,Closed,0,0.0,4003.35
A000331,C00204,Savings Account,2024-11-28,Active,0,1.82,16472.56
A000332,C00204,Current Account,2022-12-02,Active,0,0.0,1268.71
A000333,C00205,Current Account,2021-07-26,Active,0,0.0,693.6
A000334,C00205,Savings Account,2022-05-25,Active,0,1.07,18385.85
A000335,C00206,Current Account,2026-02-02,Active,0,0.0,2704.74
A000336,C00206,Savings Account,2023-04-13,Active,0,1.59,2408.4
A000337,C00207,Current Account,2025-01-07,Active,0,0.0,4851.42
A000338,C00208,Savings Account,2025-04-28,Active,0,1.12,11174.63
A000339,C00209,Current Account,2024-09-13,Active,0,0.0,3514.88
A000340,C00210,Current Account,2021-06-13,Closed,0,0.0,-500
A000341,C00211,Current Account,2024-01-30,Active,0,0.0,3847.26
A000342,C00211,Savings Account,2023-07-25,Active,0,1.87,5540.86
A000343,C00212,Current Account,2022-04-19,Dormant,0,0.0,2840.73
A000344,C00213,Savings Account,2025-05-09,Active,0,1.52,16121.91
A000345,C00214,Current Account,2026-04-03,Active,0,0.0,408.9
A000346,C00214,Savings Account,2022-03-04,Active,0,2.04,9616.06
A000347,C00215,Current Account,2024-10-09,Closed,0,0.0,2755.36
A000348,C00216,Current Account,2025-06-30,Active,0,0.0,-500
A000349,C00216,Savings Account,2026-03-14,Dormant,0,0.96,1685.56
A000350,C00217,Savings Account,2025-12-08,Active,0,1.05,24864.16
A000351,C00218,Savings Account,2025-08-12,Active,0,0.97,23848.7
A000352,C00219,Current Account,2024-04-08,Active,0,0.0,2912.69
A000353,C00219,Savings Account,2022-09-10,Active,0,1.32,22917.13
A000354,C00220,Current Account,2024-12-12,Dormant,0,0.0,1505.51
A000355,C00220,Savings Account,2025-10-01,Active,0,1.81,3448.14
A000356,C00221,Current Account,2026-06-11,Active,0,0.0,1739.47
A000357,C00222,Current Account,2024-07-05,Active,0,0.0,4749.07
A000358,C00223,Current Account,2025-08-12,Active,0,0.0,5082.54
A000359,C00224,Current Account,2025-11-23,Active,0,0.0,7541.02
A000360,C00225,Savings Account,2024-07-10,Active,0,0.81,25745.79
A000361,C00226,Savings Account,2025-07-08,Active,0,1.99,25824.29
A000362,C00227,Savings Account,2025-06-12,Active,0,1.69,0
A000363,C00228,Current Account,2025-04-23,Active,0,0.0,8276.93
A000364,C00228,Savings Account,2025-07-17,Dormant,0,1.43,45930.07
A000365,C00229,Current Account,2025-09-09,Dormant,0,0.0,2865.45
A000366,C00230,Current Account,2026-06-09,Active,0,0.0,10951.12
A000367,C00230,Savings Account,2026-06-18,Closed,0,1.55,29842.93
A000368,C00231,Current Account,2025-04-27,Dormant,0,0.0,1836.06
A000369,C00231,Savings Account,2022-07-23,Active,0,2.12,3432.55
A000370,C00231,Credit Card,2025-05-15,Active,2500,19.17,-179.53
A000371,C00232,Current Account,2024-07-13,Active,0,0.0,1663.42
A000372,C00233,Current Account,2025-11-20,Active,0,0.0,2276.95
A000373,C00233,Savings Account,2023-08-31,Active,0,1.65,0
A000374,C00233,Credit Card,2021-06-08,Active,4900,16.89,0
A000375,C00234,Current Account,2026-04-23,Active,0,0.0,9060.7
A000376,C00235,Savings Account,2025-03-31,Active,0,1.68,32780.34
A000377,C00236,Current Account,2022-08-23,Active,0,0.0,2196.18
A000378,C00236,Savings Account,2021-03-20,Active,0,2.06,11233.21
A000379,C00237,Current Account,2025-10-28,Active,0,0.0,3557.96
A000380,C00237,Savings Account,2025-12-18,Active,0,1.75,15943.83
A000381,C00238,Current Account,2026-02-05,Active,0,0.0,446.34
A000382,C00238,Savings Account,2025-12-21,Active,0,1.64,15269.48
A000383,C00239,Current Account,2026-04-16,Active,0,0.0,-500
A000384,C00239,Savings Account,2026-06-02,Active,0,1.77,0
A000385,C00239,Credit Card,2025-12-14,Active,7500,16.92,0
A000386,C00240,Current Account,2023-08-17,Active,0,0.0,3533.78
A000387,C00240,Savings Account,2022-07-23,Active,0,1.3,3070.85
A000388,C00241,Current Account,2022-04-12,Active,0,0.0,4241.46
A000389,C00241,Savings Account,2022-04-05,Active,0,1.86,6487.42
A000390,C00242,Current Account,2026-07-10,Active,0,0.0,3663.07
A000391,C00243,Current Account,2026-02-21,Dormant,0,0.0,3098.31
A000392,C00243,Savings Account,2025-06-09,Active,0,1.95,4740.2
A000393,C00244,Current Account,2023-02-12,Active,0,0.0,6324.82
A000394,C00245,Current Account,2026-03-02,Active,0,0.0,2558.97
A000395,C00246,Current Account,2026-01-24,Dormant,0,0.0,730.03
A000396,C00247,Savings Account,2024-12-06,Closed,0,1.3,6396.0
A000397,C00247,Current Account,2025-07-28,Active,0,0.0,-500
A000398,C00248,Savings Account,2026-06-15,Active,0,1.35,580.18
A000399,C00249,Current Account,2022-07-13,Active,0,0.0,3572.73
A000400,C00249,Credit Card,2024-11-05,Active,3100,20.51,-563.63
A000401,C00250,Current Account,2024-11-08,Active,0,0.0,2583.48
