customer_id,country,age_group,segment,annual_income_eur,risk_score,acquisition_channel,join_date,digital_active
C00163,Germany,25-34,Mass Market,33000,598,Organic Web,2022-05-07,0
C00164,Netherlands,25-34,Family,48400,676,Paid Search,2021-10-20,1
C00165,France,45-54,Senior,49000,680,Paid Search,2025-09-08,1
C00166,Belgium,45-54,Young Professional,69300,653,Organic Web,2024-01-13,0
C00167,Netherlands,35-44,Mass Market,71900,656,Branch,2025-01-31,1
C00168,Belgium,25-34,Family,32400,695,Organic Web,2020-12-08,0
C00169,France,65+,Affluent,79800,741,Paid Search,2019-12-27,1
C00170,Germany,45-54,Young Professional,78600,763,Organic Web,2023-11-02,0
C00171,Germany,25-34,Senior,30100,687,Referral,2023-05-01,1
C00172,France,25-34,Family,48300,560,Branch,2026-02-27,1
C00173,Belgium,45-54,Family,61200,649,Branch,2023-03-23,0
C00174,Belgium,35-44,Family,51000,655,Partner,2024-07-03,1
C00175,France,65+,Family,32700,681,Partner,2022-06-30,0
C00176,France,25-34,Senior,45100,807,Branch,2020-05-28,1
C00177,Germany,25-34,Young Professional,45400,622,Branch,2024-12-16,0
C00178,Germany,55-64,Young Professional,45000,613,Partner,2024-05-19,1
C00179,Belgium,35-44,Young Professional,60500,649,Partner,2020-02-13,0
C00180,Netherlands,35-44,Family,63000,726,Organic Web,2024-07-02,1
C00181,Germany,18-24,Young Professional,33700,673,Referral,2020-08-02,1
C00182,Netherlands,45-54,Mass Market,48700,735,Referral,2026-01-17,0
C00183,Belgium,18-24,Mass Market,32800,638,Paid Search,2022-03-16,1
C00184,Netherlands,25-34,Family,32200,620,Organic Web,2024-09-23,1
C00185,Belgium,35-44,Young Professional,57600,710,Branch,2022-05-29,1
C00186,Belgium,45-54,Young Professional,52200,748,Paid Search,2023-06-10,0
C00187,Luxembourg,35-44,Young Professional,47200,698,Referral,2021-11-06,1
C00188,Netherlands,55-64,Mass Market,51800,665,Organic Web,2022-10-22,0
C00189,Luxembourg,55-64,Mass Market,48900,713,Referral,2019-02-19,1
C00190,Belgium,25-34,Affluent,95900,761,Organic Web,2022-09-16,1
C00191,Belgium,45-54,Mass Market,56400,846,Partner,2022-04-25,0
C00192,Netherlands,55-64,Young Professional,73400,715,Paid Search,2022-11-26,1
C00193,Belgium,35-44,Mass Market,41500,679,Paid Search,2020-12-06,0
C00194,Belgium,65+,Mass Market,40500,636,Organic Web,2022-01-03,0
C00195,Belgium,35-44,Family,50500,681,Organic Web,2021-03-04,1
C00196,Netherlands,35-44,Family,68100,693,Referral,2019-01-15,1
C00197,France,35-44,Mass Market,37900,658,Organic Web,2022-09-14,1
C00198,Netherlands,25-34,Family,49400,671,Branch,2023-08-20,1
C00199,France,35-44,Senior,59800,654,Organic Web,2021-10-09,1
C00200,Luxembourg,35-44,Mass Market,48300,697,Organic Web,2023-09-12,1
C00201,Belgium,35-44,Senior,80500,629,Organic Web,2024-06-09,1
C00202,Luxembourg,18-24,Senior,24200,649,Organic Web,2020-08-13,1
C00203,Germany,25-34,Family,46500,597,Paid Search,2023-11-10,0
C00204,Netherlands,65+,Young Professional,37500,741,Organic Web,2021-12-19,1
C00205,Luxembourg,25-34,Family,53600,623,Paid Search,2020-04-12,1
C00206,Germany,25-34,Senior,55700,587,Organic Web,2020-08-05,0
C00207,Germany,45-54,Family,66200,625,Organic Web,2024-10-01,0
C00208,Belgium,45-54,Young Professional,42100,734,Organic Web,2021-04-15,1
C00209,Belgium,65+,Mass Market,48400,738,Branch,2019-06-02,0
C00210,Netherlands,35-44,Family,29900,695,Organic Web,2020-11-23,1
C00211,Netherlands,25-34,Family,45400,671,Organic Web,2021-04-22,1
C00212,Netherlands,65+,Young Professional,48400,619,Partner,2019-11-17,0
C00213,Germany,25-34,Senior,54900,685,Referral,2023-09-22,1
C00214,Belgium,25-34,Mass Market,29500,558,Organic Web,2021-06-21,1
C00215,Netherlands,25-34,Young Professional,45100,751,Organic Web,2021-08-24,1
C00216,Belgium,45-54,Mass Market,46600,582,Paid Search,2025-05-14,1
C00217,Belgium,55-64,Young Professional,59100,612,Paid Search,2024-06-22,1
C00218,Netherlands,35-44,Mass Market,71400,826,Organic Web,2025-07-05,0
C00219,Belgium,65+,Mass Market,41800,745,Referral,2021-02-10,1
C00220,Netherlands,35-44,Mass Market,38300,686,Partner,2024-04-17,1
C00221,Belgium,65+,Mass Market,36900,643,Organic Web,2023-06-03,1
C00222,Belgium,45-54,Family,80500,697,Paid Search,2022-12-04,1
C00223,Belgium,35-44,Young Professional,64900,743,Branch,2019-09-07,1
C00224,Netherlands,45-54,Affluent,140900,716,Branch,2025-09-09,1
C00225,France,25-34,Mass Market,46600,548,Referral,2024-05-03,1
C00226,Belgium,55-64,Affluent,141200,796,Branch,2025-04-21,0
C00227,Germany,25-34,Senior,45200,613,Referral,2022-11-21,1
C00228,France,45-54,Affluent,115300,795,Partner,2022-11-04,1
C00229,Germany,55-64,Family,52700,624,Organic Web,2023-07-31,1
C00230,Belgium,55-64,Affluent,108400,817,Organic Web,2025-09-04,1
C00231,Netherlands,35-44,Family,44500,636,Referral,2021-02-12,1
C00232,Germany,25-34,Family,39100,740,Branch,2022-06-06,1
C00233,France,18-24,Affluent,26300,748,Organic Web,2020-08-30,1
C00234,Netherlands,35-44,Affluent,113000,742,Paid Search,2020-07-19,1
C00235,France,35-44,Affluent,98800,725,Branch,2025-02-13,1
C00236,Belgium,25-34,Family,42100,616,Referral,2020-12-26,1
C00237,Luxembourg,35-44,Young Professional,53800,631,Referral,2025-05-16,1
C00238,Belgium,18-24,Family,31500,693,Organic Web,2025-12-12,1
C00239,Belgium,25-34,Family,49500,730,Organic Web,2025-10-08,1
C00240,France,25-34,Mass Market,38900,777,Organic Web,2019-01-21,0
C00241,France,35-44,Mass Market,49300,652,Paid Search,2019-12-11,1
C00242,Belgium,18-24,Young Professional,27100,630,Branch,2020-07-14,1
C00243,Netherlands,25-34,Mass Market,34100,689,Partner,2023-04-11,1
C00244,Germany,55-64,Family,80400,673,Referral,2021-10-23,0
C00245,France,45-54,Family,68600,569,Referral,2022-09-22,0
C00246,Belgium,25-34,Mass Market,28600,690,Organic Web,2025-06-21,0
C00247,France,25-34,Mass Market,26700,604,Organic Web,2023-12-31,1
C00248,Germany,25-34,Mass Market,45500,714,Organic Web,2020-01-26,1
C00249,Netherlands,45-54,Family,47100,636,Organic Web,2019-07-28,0
C00250,Luxembourg,65+,Mass Market,22200,586,Branch,2023-05-27,1
C00251,Luxembourg,65+,Senior,29500,785,Partner,2024-09-05,0
C00252,Netherlands,35-44,Family,57300,649,Branch,2021-02-04,1
C00253,Netherlands,35-44,Mass Market,57100,850,Branch,2024-02-19,1
C00254,France,45-54,Family,37600,623,Referral,2022-08-17,0
C00255,Netherlands,45-54,Young Professional,70200,697,Paid Search,2020-09-13,1
C00256,Netherlands,25-34,Mass Market,40300,704,Partner,2021-11-13,1
C00257,Belgium,45-54,Mass Market,53800,765,Organic Web,2025-09-18,1
C00258,Belgium,18-24,Senior,21100,555,Paid Search,2023-09-06,1
C00259,Netherlands,35-44,Mass Market,72400,713,Paid Search,2020-11-20,1
C00260,France,25-34,Mass Market,45100,760,Referral,2024-12-30,1
C00261,France,35-44,Affluent,112300,815,Referral,2024-05-14,1
C00262,Belgium,25-34,Mass Market,46400,555,Referral,2021-11-11,0
C00263,Germany,45-54,Family,39300,787,Organic Web,2020-01-07,1
C00264,France,25-34,Family,33700,674,Partner,2019-07-30,1
C00265,Belgium,45-54,Senior,75200,820,Organic Web,2026-07-12,1
C00266,Netherlands,35-44,Affluent,101600,722,Partner,2019-06-22,1
C00267,France,18-24,Mass Market,16000,642,Organic Web,2020-03-13,1
C00268,Netherlands,25-34,Affluent,50100,729,Paid Search,2022-09-13,1
C00269,Germany,25-34,Mass Market,48800,789,Referral,2021-05-30,1
C00270,France,35-44,Senior,49700,701,Partner,2021-01-10,1
C00271,France,25-34,Mass Market,40900,649,Organic Web,2022-04-04,1
C00272,Germany,35-44,Mass Market,51300,706,Organic Web,2019-02-13,1
C00273,Netherlands,35-44,Mass Market,29000,720,Referral,2020-06-03,0
C00274,Netherlands,55-64,Young Professional,56700,769,Branch,2023-11-04,0
C00275,Belgium,45-54,Mass Market,56000,626,Partner,2023-08-29,1
C00276,Belgium,25-34,Mass Market,58700,628,Partner,2020-07-30,1
C00277,Belgium,45-54,Senior,49400,682,Referral,2021-04-27,0
C00278,France,45-54,Affluent,51200,685,Branch,2019-07-16,0
C00279,Belgium,35-44,Mass Market,54900,618,Partner,2025-06-28,1
C00280,Belgium,55-64,Young Professional,29700,578,Paid Search,2021-11-04,0
C00281,Belgium,35-44,Mass Market,60300,706,Referral,2019-02-24,1
C00282,Belgium,35-44,Young Professional,57300,660,Branch,2020-12-31,0
C00283,Luxembourg,35-44,Mass Market,41700,724,Referral,2020-01-20,1
C00284,Belgium,35-44,Mass Market,58100,728,Referral,2020-08-20,1
C00285,France,25-34,Mass Market,47500,683,Paid Search,2025-03-02,1
C00286,France,55-64,Young Professional,69400,835,Partner,2019-03-27,1
C00287,Germany,25-34,Mass Market,52500,793,Branch,2026-04-24,1
C00288,Netherlands,25-34,Affluent,77600,665,Organic Web,2024-06-11,1
C00289,Belgium,25-34,Mass Market,54200,742,Referral,2020-12-30,0
C00290,Netherlands,25-34,Mass Market,56200,697,Organic Web,2019-07-31,1
C00291,Germany,65+,Mass Market,28100,757,Branch,2020-01-05,1
C00292,Belgium,35-44,Senior,51400,603,Referral,2023-11-13,1
C00293,Germany,35-44,Mass Market,51500,745,Referral,2025-11-17,1
C00294,Belgium,25-34,Mass Market,28300,701,Organic Web,2019-03-31,1
C00295,Belgium,45-54,Mass Market,92000,748,Paid Search,2021-02-13,1
C00296,Germany,45-54,Mass Market,44600,578,Organic Web,2025-07-20,1
C00297,France,55-64,Mass Market,54800,719,Partner,2021-06-14,0
C00298,France,35-44,Mass Market,69000,684,Partner,2021-05-27,1
C00299,Belgium,25-34,Mass Market,37100,602,Partner,2025-08-20,1
C00300,Belgium,25-34,Young Professional,42900,627,Organic Web,2022-07-01,1
C00301,Belgium,55-64,Family,60000,845,Organic Web,2023-04-28,0
C00302,France,18-24,Affluent,41500,747,Branch,2019-10-21,1
C00303,Luxembourg,18-24,Family,22400,668,Referral,2021-07-04,1
C00304,Belgium,45-54,Young Professional,70100,680,Paid Search,2019-07-23,0
C00305,Germany,45-54,Young Professional,55100,718,Organic Web,2020-02-01,1
C00306,Belgium,25-34,Affluent,45600,685,Paid Search,2024-08-24,1
C00307,Germany,55-64,Mass Market,53900,715,Partner,2022-12-27,1
C00308,Belgium,45-54,Young Professional,57900,732,Organic Web,2023-05-07,1
C00309,Germany,45-54,Senior,27400,633,Organic Web,2025-08-09,1
C00310,Belgium,35-44,Young Professional,43300,601,Paid Search,2020-09-30,0
C00311,Belgium,45-54,Young Professional,78800,821,Organic Web,2020-06-28,0
C00312,Belgium,65+,Mass Market,36500,567,Referral,2024-11-27,1
C00313,Belgium,18-24,Family,23000,616,Referral,2022-02-10,1
C00314,Belgium,45-54,Mass Market,32500,693,Paid Search,2020-06-15,0
C00315,France,35-44,Senior,47000,653,Referral,2023-11-30,0
C00316,France,25-34,Mass Market,46600,733,Organic Web,2023-10-13,1
C00317,Belgium,35-44,Affluent,59700,583,Paid Search,2023-05-03,1
C00318,Belgium,55-64,Family,53000,586,Organic Web,2021-09-19,1
C00319,Netherlands,35-44,Mass Market,77700,657,Referral,2019-06-09,1
C00320,Belgium,45-54,Family,67600,662,Partner,2021-05-31,0
C00321,Belgium,55-64,Family,53400,659,Branch,2022-04-16,0
C00322,Belgium,25-34,Affluent,90800,727,Paid Search,2023-07-19,0
C00323,Belgium,25-34,Mass Market,48000,589,Branch,2020-03-24,0
C00324,Luxembourg,25-34,Mass Market,73500,681,Paid Search,2021-07-29,1
C00325,Netherlands,25-34,Family,53700,689,Organic Web,2022-06-18,1
C00326,France,35-44,Family,36100,651,Branch,2021-04-04,1
C00327,France,18-24,Mass Market,28500,672,Referral,2022-11-18,1
C00328,Belgium,35-44,Family,46100,672,Branch,2019-11-16,1
C00329,Germany,25-34,Family,45200,655,Referral,2019-10-26,0
C00330,Belgium,45-54,Family,54000,672,Paid Search,2022-02-05,1
C00331,Netherlands,65+,Mass Market,49400,686,Paid Search,2019-03-14,1
C00332,France,55-64,Young Professional,67600,669,Referral,2019-03-28,1
C00333,Belgium,35-44,Family,41000,698,Referral,2019-02-21,1
C00334,Netherlands,25-34,Mass Market,42000,690,Partner,2026-06-14,1
C00335,Belgium,55-64,Young Professional,58500,686,Referral,2020-04-01,0
C00336,Belgium,25-34,Mass Market,43500,639,Paid Search,2026-01-18,1
C00337,France,65+,Mass Market,38500,708,Branch,2024-08-14,0
C00338,Belgium,45-54,Mass Market,78000,684,Partner,2020-08-30,1
C00339,Netherlands,65+,Young Professional,41400,664,Referral,2026-04-01,1
C00340,Belgium,35-44,Family,52600,704,Paid Search,2024-07-15,1
C00341,Germany,25-34,Mass Market,35600,549,Organic Web,2025-01-07,1
C00342,Belgium,45-54,Mass Market,60400,580,Organic Web,2024-08-17,0
C00343,Belgium,18-24,Family,22300,628,Branch,2023-08-17,1
C00344,Luxembourg,45-54,Mass Market,44600,600,Partner,2025-08-08,0
C00345,Belgium,25-34,Mass Market,42700,661,Partner,2023-11-11,0
C00346,France,25-34,Family,33800,667,Referral,2023-12-31,1
C00347,Germany,35-44,Mass Market,57100,678,Organic Web,2023-04-04,1
C00348,Belgium,25-34,Young Professional,40500,739,Organic Web,2024-09-28,1
C00349,Belgium,35-44,Young Professional,56000,694,Branch,2022-04-16,1
C00350,Belgium,25-34,Family,62000,790,Referral,2019-08-23,0
C00351,Netherlands,45-54,Young Professional,59800,774,Organic Web,2024-11-15,1
C00352,Netherlands,45-54,Family,81700,610,Organic Web,2025-07-13,1
C00353,France,45-54,Young Professional,54100,607,Paid Search,2025-01-14,1
C00354,Belgium,45-54,Young Professional,66000,646,Branch,2019-09-20,1
C00355,Belgium,65+,Mass Market,52000,687,Paid Search,2025-06-27,1
C00356,France,18-24,Family,28800,590,Organic Web,2023-08-03,1
C00357,Netherlands,25-34,Family,36000,660,Organic Web,2025-03-28,0
C00358,Germany,45-54,Young Professional,67500,504,Partner,2024-01-19,1
C00359,Belgium,45-54,Family,53800,677,Paid Search,2023-05-07,1
C00360,Germany,25-34,Family,37300,643,Referral,2025-03-25,1
C00361,France,25-34,Family,51800,641,Organic Web,2019-09-21,1
C00362,France,25-34,Family,50700,613,Paid Search,2020-09-28,1
C00363,Luxembourg,18-24,Family,24400,632,Referral,2024-03-05,1
C00364,Belgium,45-54,Affluent,111500,767,Partner,2021-01-13,1
C00365,Belgium,45-54,Family,42900,651,Referral,2022-05-26,1
C00366,Belgium,55-64,Affluent,136500,737,Organic Web,2021-02-27,1
C00367,Germany,55-64,Mass Market,66900,683,Paid Search,2023-07-30,1
C00368,Belgium,25-34,Mass Market,44800,690,Referral,2023-03-08,1
C00369,France,65+,Mass Market,39100,660,Paid Search,2023-11-20,1
C00370,France,55-64,Young Professional,71700,695,Partner,2020-09-21,0
C00371,France,45-54,Young Professional,76600,760,Paid Search,2024-06-14,1
C00372,France,35-44,Young Professional,47800,654,Branch,2025-12-11,1
C00373,Belgium,25-34,Family,34000,639,Organic Web,2025-04-01,1
C00374,Luxembourg,65+,Family,30200,737,Branch,2019-05-12,1
C00375,Germany,45-54,Mass Market,67700,741,Referral,2024-09-21,0
C00376,Belgium,25-34,Young Professional,26700,714,Referral,2023-06-06,1
C00377,Belgium,35-44,Mass Market,66300,727,Referral,2021-10-05,1
C00378,Belgium,65+,Young Professional,47700,621,Paid Search,2022-06-19,1
C00379,Belgium,25-34,Young Professional,30600,645,Paid Search,2023-10-19,1
C00380,Netherlands,55-64,Mass Market,77900,692,Paid Search,2023-04-23,1
C00381,Netherlands,35-44,Young Professional,62700,734,Referral,2023-08-01,0
C00382,France,35-44,Family,78900,753,Partner,2026-07-25,1
