transaction_id,account_id,customer_id,transaction_datetime,transaction_type,category,amount_eur,merchant_country,channel,is_international,is_suspicious
T0002045,A001962,C01203,2024-06-17 22:08:26,Transfer In,Transfer,509.47,Belgium,Bank Transfer,0,0
T0009239,A003015,C01846,2025-11-11 05:04:00,Direct Debit,Subscriptions,-22.87,Netherlands,Direct Debit,0,0
T0005907,A000656,C00403,2024-11-13 15:35:08,Transfer In,Transfer,219.82,Belgium,Bank Transfer,0,0
T0008802,A001374,C00842,2026-05-24 08:00:36,Card Purchase,Fuel,-99.68,Germany,Online,0,0
T0000566,A002597,C01591,2024-12-11 15:12:27,Cash Withdrawal,Cash,-150,Netherlands,ATM,0,0
T0003932,A003825,C02337,2024-03-20 06:12:59,Transfer Out,Transfer,-126.23,Belgium,Bank Transfer,0,0
T0000682,A003910,C02393,2025-01-03 12:31:05,Direct Debit,Housing,-1025.71,Belgium,Direct Debit,0,0
T0008317,A001231,C00751,2024-11-18 20:00:55,Card Purchase,E-commerce,-19.51,Germany,Card Present,1,0
T0001394,A002688,C01641,2026-06-19 07:52:35,Card Purchase,Travel,-175.47,Belgium,Card Present,0,0
T0000458,A000173,C00106,2024-04-23 17:59:05,Transfer Out,Transfer,-53.97,Netherlands,Mobile App,0,0
T0003873,A002402,C01476,2024-02-29 05:47:15,Transfer In,Transfer,532.21,Netherlands,Bank Transfer,0,0
T0002843,A001261,C00771,2024-09-15 21:46:50,Transfer In,Transfer,708.2,France,Mobile App,0,0
T0009850,A001556,C00955,2025-05-22 17:23:37,Transfer Out,Transfer,-265.55,Netherlands,Bank Transfer,0,0
T0006821,A003939,C02410,2024-10-09 04:58:31,Card Purchase,Dining,-58.24,Belgium,Card Present,0,0
T0003853,A003711,C02267,2026-05-04 23:21:34,Transfer In,Transfer,611.77,Netherlands,Bank Transfer,0,0
T0008594,A002733,C01669,2026-06-28 20:12:11,Card Purchase,Healthcare,-77.99,France,Card Present,0,0
T0005267,A003437,C02103,2025-09-13 06:05:55,Card Purchase,Dining,-45.85,Germany,Card Present,0,0
T0003499,A003896,C02384,2024-10-07 01:51:47,Transfer Out,Transfer,-941.29,Belgium,Mobile App,0,0
T0006438,A001001,C00611,2024-02-09 21:20:39,Direct Debit,Insurance,-165.08,Netherlands,Direct Debit,0,0
T0009819,A001959,C01202,2024-12-15 20:45:03,Interest,Interest,6.9,Netherlands,Mobile App,0,0
T0002829,A003474,C02124,2024-11-25 17:11:54,Card Purchase,Dining,-67.85,Belgium,Card Present,0,0
T0007853,A000469,C00289,2024-04-07 00:10:48,Card Purchase,Retail,-156.05,Belgium,Online,0,0
T0005803,A003583,C02192,2026-03-26 04:41:01,Transfer In,Transfer,477.56,Belgium,Bank Transfer,0,0
T0002561,A000257,C00161,2026-04-03 11:27:08,Card Purchase,Travel,-146.13,Belgium,Online,0,0
T0002724,A003925,C02401,2026-03-17 15:01:33,Transfer Out,Transfer,-398.74,Belgium,Mobile App,0,0
T0007133,A001295,C00795,2025-06-18 05:53:55,Transfer Out,Transfer,-351.42,Belgium,Bank Transfer,0,0
T0006302,A000303,C00188,2026-06-03 00:02:25,Transfer In,Transfer,204.95,Netherlands,Bank Transfer,0,0
T0003403,A002020,C01239,2024-01-14 03:03:30,Card Purchase,Healthcare,-211.97,Netherlands,Card Present,0,0
T0005472,A001449,C00888,2025-09-01 07:59:25,Salary,Salary,4226.65,Belgium,Mobile App,0,0
T0006309,A003343,C02046,2025-06-22 09:45:16,Direct Debit,Subscriptions,-25.67,Netherlands,Direct Debit,0,0
T0008816,A000014,C00008,2024-10-04 17:46:23,Direct Debit,Insurance,-148.74,Belgium,Direct Debit,0,0
T0007059,A001583,C00974,2024-12-16 01:07:13,Transfer In,Transfer,214.06,Belgium,Bank Transfer,0,0
T0008764,A001273,C00780,2024-11-28 13:27:01,Card Purchase,Groceries,-53.42,Germany,Online,0,0
T0005958,A001719,C01061,2024-10-18 21:36:51,Interest,Interest,5.82,Belgium,Mobile App,0,0
T0004307,A002447,C01503,2024-03-21 21:59:18,Transfer In,Transfer,229.46,Belgium,Bank Transfer,0,0
T0009639,A002459,C01510,2025-05-14 18:42:49,Transfer Out,Transfer,-198.71,Netherlands,Mobile App,0,0
T0007771,A003402,C02079,2024-05-26 15:47:43,Transfer In,Transfer,731.25,Belgium,Bank Transfer,0,0
T0009893,A002235,C01373,2024-01-20 20:13:34,Direct Debit,Insurance,-137.77,Belgium,Direct Debit,0,0
T0000011,A003292,C02017,2024-08-02 20:50:01,Card Purchase,Retail,-130.89,Belgium,Card Present,0,0
T0005053,A000457,C00284,2025-02-11 09:39:21,Card Purchase,Fuel,-142.96,Belgium,Card Present,0,0
T0007362,A000355,C00220,2026-04-30 14:15:49,Transfer In,Transfer,174.66,Netherlands,Mobile App,0,0
T0008262,A003725,C02276,2024-12-26 23:10:52,Salary,Salary,3005.22,Germany,Mobile App,0,0
T0001197,A002963,C01812,2026-02-01 04:04:44,Card Purchase,Entertainment,-20.86,Netherlands,Card Present,0,0
T0005530,A001756,C01085,2025-05-28 11:35:09,Interest,Interest,11.0,Netherlands,Mobile App,0,0
T0007098,A000297,C00185,2024-10-07 15:07:25,Transfer In,Transfer,120.87,Belgium,Bank Transfer,0,0
T0004997,A002248,C01381,2024-05-17 23:28:15,Direct Debit,Insurance,-143.38,France,Direct Debit,0,0
T0009813,A003467,C02119,2026-08-21 05:30:50,Transfer Out,Transfer,-118.69,Belgium,Bank Transfer,0,0
T0004030,A001384,C00848,2026-04-17 21:58:08,Transfer Out,Transfer,-311.12,Netherlands,Bank Transfer,0,0
T0006441,A001396,C00856,2024-03-30 19:24:43,Card Purchase,Groceries,-80.65,Netherlands,Online,0,0
T0000102,A000789,C00483,2024-05-15 02:37:35,Card Purchase,Healthcare,-67.66,Netherlands,Mobile App,0,0
T0000215,A000943,C00576,2025-11-11 10:32:48,Transfer In,Transfer,90.5,Belgium,Mobile App,0,0
T0002026,A002387,C01466,2024-06-04 18:14:11,Transfer Out,Transfer,-263.73,Germany,Bank Transfer,0,0
T0004890,A001034,C00631,2024-02-26 22:16:53,Transfer In,Transfer,442.17,Belgium,Bank Transfer,0,0
T0007974,A000197,C00123,2025-11-18 06:14:56,Transfer Out,Transfer,-112.77,France,Mobile App,0,0
T0004342,A002588,C01585,2024-02-10 05:50:50,Transfer In,Transfer,129.93,France,Bank Transfer,0,0
T0001862,A002697,C01648,2024-08-23 01:14:32,Transfer In,Transfer,55.38,Belgium,Bank Transfer,0,0
T0004667,A002242,C01377,2026-07-02 18:46:15,Direct Debit,Insurance,-87.52,Belgium,Direct Debit,0,0
T0008943,A003846,C02350,2025-10-10 11:25:06,Transfer In,Transfer,175.45,Netherlands,Mobile App,0,0
T0000759,A000853,C00522,2024-01-14 02:36:23,Direct Debit,Housing,-640.66,Netherlands,Direct Debit,0,0
T0003516,A001399,C00857,2026-03-11 20:47:41,Transfer Out,Transfer,-941.9,Netherlands,Bank Transfer,0,0
T0005703,A000942,C00575,2024-01-29 13:55:10,Transfer Out,Transfer,-441.13,France,Bank Transfer,0,0
T0006222,A002585,C01584,2026-01-12 14:09:51,Interest,Interest,0.89,Germany,Mobile App,0,0
T0007937,A003493,C02136,2026-04-02 09:11:55,Transfer Out,Transfer,-79.5,France,Mobile App,0,0
T0003154,A001764,C01091,2025-01-04 17:56:50,Card Purchase,Healthcare,-109.55,Belgium,Card Present,0,0
T0000977,A001038,C00633,2024-10-21 10:29:51,Card Purchase,Groceries,-50.21,Netherlands,Online,0,0
T0003120,A000308,C00191,2026-08-06 06:14:58,Card Purchase,Dining,-67.0,Belgium,Online,0,0
T0000073,A001474,C00905,2026-05-08 12:28:12,Card Purchase,Groceries,-103.84,Belgium,Card Present,0,0
T0002986,A003389,C02071,2025-08-07 12:00:23,Card Purchase,Travel,-413.62,Belgium,Online,0,0
T0007816,A003490,C02134,2025-08-04 19:54:08,Direct Debit,Utilities,-137.55,Germany,Direct Debit,0,0
T0000770,A000038,C00022,2024-06-09 22:57:10,Cash Withdrawal,Cash,-20,France,ATM,0,0
T0009096,A001363,C00836,2024-12-07 09:07:05,Direct Debit,Insurance,-114.36,Netherlands,Direct Debit,0,0
T0006996,A001219,C00743,2026-05-12 23:58:52,Card Purchase,E-commerce,-227.48,Germany,Mobile App,0,0
T0005950,A002922,C01784,2025-02-01 08:51:44,Card Purchase,Travel,-193.75,Netherlands,Card Present,0,0
T0001620,A002915,C01779,2024-10-02 11:18:49,Card Purchase,Groceries,-26.83,Netherlands,Card Present,0,0
T0007375,A000145,C00088,2026-08-21 21:07:58,Interest,Interest,7.44,Netherlands,Mobile App,0,0
T0000551,A001214,C00739,2025-03-21 10:16:53,Direct Debit,Utilities,-153.82,Belgium,Direct Debit,0,0
T0006241,A000146,C00088,2024-03-22 17:00:00,Card Purchase,Retail,-44.99,Netherlands,Card Present,0,0
T0003985,A001393,C00854,2024-01-23 20:02:38,Direct Debit,Insurance,-116.61,Germany,Direct Debit,0,0
T0004786,A001407,C00864,2026-08-25 23:56:19,Transfer In,Transfer,1054.51,Belgium,Mobile App,0,0
T0005444,A002252,C01384,2026-07-21 19:13:39,Transfer In,Transfer,106.9,Germany,Bank Transfer,0,0
T0001393,A002105,C01294,2026-08-16 10:39:06,Transfer In,Transfer,326.06,France,Bank Transfer,0,0
T0001358,A001305,C00802,2024-04-27 09:13:10,Transfer In,Transfer,574.11,Germany,Bank Transfer,0,0
T0000875,A001084,C00661,2025-03-23 10:19:40,Transfer Out,Transfer,-341.99,Belgium,Mobile App,0,0
T0002555,A002447,C01503,2024-10-01 17:38:54,Transfer In,Transfer,124.44,Belgium,Mobile App,0,0
T0006536,A002895,C01766,2026-03-29 13:47:53,Card Purchase,Healthcare,-72.19,Belgium,Card Present,0,0
T0002034,A001163,C00709,2025-05-13 23:26:47,Direct Debit,Telecom,-76.39,Belgium,Direct Debit,0,0
T0004908,A003162,C01935,2026-05-02 00:28:08,Salary,Salary,6562.06,Germany,Bank Transfer,0,0
T0007552,A002789,C01704,2024-09-25 08:34:04,Card Purchase,Healthcare,-156.63,Germany,Card Present,0,0
T0008304,A001817,C01120,2024-12-21 21:53:44,Transfer Out,Transfer,-238.95,Netherlands,Mobile App,0,0
T0007221,A001141,C00697,2024-10-04 06:43:33,Card Purchase,E-commerce,-68.55,Netherlands,Online,0,0
T0004462,A002400,C01475,2025-05-31 22:03:40,Transfer Out,Transfer,-660.01,Belgium,Mobile App,0,0
T0003539,A004073,C02489,2025-08-29 20:17:29,Transfer In,Transfer,480.7,Belgium,Mobile App,0,0
T0007600,A002879,C01757,2025-10-29 06:03:57,Card Purchase,Groceries,-173.79,Netherlands,Card Present,0,0
T0007256,A000650,C00399,2025-08-03 08:14:50,Direct Debit,Telecom,-59.62,France,Direct Debit,0,0
T0005139,A002196,C01347,2024-09-27 04:35:31,Transfer In,Transfer,769.89,Belgium,Mobile App,0,0
T0003493,A003625,C02217,2024-08-30 00:37:21,Transfer In,,237.51,Belgium,Bank Transfer,0,0
T0003019,A000809,C00493,2026-02-21 11:59:22,Transfer Out,Transfer,-250.37,France,Mobile App,0,0
T0006599,A000341,C00211,2025-10-18 21:39:35,Card Purchase,Dining,-24.62,Netherlands,Card Present,0,0
T0003350,A003199,C01961,2024-06-06 15:48:05,Transfer In,Transfer,313.91,Germany,Mobile App,0,0
T0009403,A000909,C00556,2024-02-19 08:43:02,Card Purchase,Fuel,-73.22,Belgium,Online,0,0
T0006860,A002831,C01729,2026-05-26 21:12:18,Card Purchase,Fuel,-30.74,Portugal,Mobile App,1,0
T0001749,A000797,C00487,2025-08-30 13:23:43,Transfer In,Transfer,889.99,France,Bank Transfer,0,0
T0009951,A001114,C00680,2025-10-11 10:05:41,Card Purchase,Fuel,-143.35,Belgium,Card Present,0,0
T0000797,A000797,C00487,2025-10-12 19:29:34,Transfer In,Transfer,591.55,France,Mobile App,0,0
T0005248,A003501,C02141,2024-11-12 05:29:02,Direct Debit,Subscriptions,-24.25,Belgium,Direct Debit,0,0
T0002149,A001205,C00733,2026-03-14 08:53:29,Transfer In,Transfer,123.16,France,Bank Transfer,0,0
T0003375,A003269,C02003,2024-05-11 23:19:39,Interest,Interest,5.63,Belgium,Mobile App,0,0
T0001268,A003313,C02030,2024-07-19 07:57:04,Transfer In,Transfer,292.49,France,Bank Transfer,0,0
T0004700,A001473,C00904,2024-05-15 12:17:39,Card Purchase,Fuel,-379.97,Belgium,Online,0,0
T0004000,A002782,C01701,2024-08-24 23:18:00,Transfer In,Transfer,411.25,France,Bank Transfer,0,0
T0006162,A000414,C00258,2026-08-20 19:26:34,Transfer In,Transfer,2056.42,Belgium,Mobile App,0,0
T0005982,A004076,C02491,2024-10-06 01:07:46,Card Purchase,E-commerce,-45.88,Belgium,Online,0,0
T0005877,A003862,C02360,2026-05-17 21:33:28,Transfer In,Transfer,471.27,Belgium,Bank Transfer,0,0
T0008756,A000562,C00346,2025-04-08 02:06:42,Card Purchase,E-commerce,-73.27,France,Mobile App,0,0
T0007119,A001924,C01182,2024-05-15 15:48:07,Transfer Out,Transfer,-222.74,Netherlands,Bank Transfer,0,0
T0007432,A001003,C00612,2024-08-19 22:50:17,Transfer In,Transfer,986.34,Germany,Bank Transfer,0,0
T0006081,A003700,C02261,2024-11-15 00:24:30,Salary,Salary,2159.98,Belgium,Bank Transfer,0,0
T0007955,A001310,C00806,2025-06-24 13:33:37,Direct Debit,Telecom,-81.52,France,Direct Debit,0,0
T0005906,A001626,C00999,2025-04-16 14:57:36,Card Purchase,Dining,-50.14,Belgium,Online,0,0
T0000438,A003861,C02359,2026-05-31 17:55:23,Direct Debit,Telecom,-49.24,Belgium,Direct Debit,0,0
T0001002,A003590,C02195,2024-08-03 10:26:08,Transfer In,Transfer,43.38,Netherlands,Bank Transfer,0,0
T0005754,A002200,C01350,2026-06-04 20:32:29,Direct Debit,Insurance,-99.24,Luxembourg,Direct Debit,0,0
T0003611,A000329,C00202,2025-05-25 12:30:22,Transfer Out,,-513.32,Luxembourg,Mobile App,0,0
T0007723,A002916,C01780,2025-10-27 20:03:37,Card Purchase,E-commerce,-116.29,Belgium,Card Present,0,0
T0005901,A004057,C02479,2024-12-24 10:34:54,Transfer In,Transfer,313.58,Belgium,Mobile App,0,0
T0001787,A002897,C01767,2025-09-03 19:00:13,Transfer Out,Transfer,-36.67,Netherlands,Bank Transfer,0,0
T0004968,A001265,C00774,2025-05-18 23:51:00,Card Purchase,Groceries,-42.64,Belgium,Card Present,0,0
T0004375,A002812,C01718,2024-04-23 03:27:29,Card Purchase,Fuel,-139.19,Netherlands,Card Present,0,0
T0005189,A003762,C02297,2024-06-13 10:54:33,Card Purchase,Entertainment,-41.07,Belgium,Card Present,0,0
T0008877,A001386,C00849,2026-03-28 05:28:03,Transfer In,Transfer,117.36,France,Bank Transfer,0,0
T0002804,A002964,C01812,2026-01-01 11:23:28,Transfer Out,Transfer,-972.35,Netherlands,Mobile App,0,0
T0009891,A000974,C00595,2026-03-03 17:03:25,Transfer In,Transfer,688.0,Belgium,Bank Transfer,0,0
T0009160,A003331,C02039,2024-08-23 09:37:00,Cash Withdrawal,Cash,-100,Netherlands,ATM,0,0
T0003891,A002049,C01256,2024-10-18 06:32:00,Transfer In,Transfer,87.45,Germany,Bank Transfer,0,0
T0000401,A002678,C01635,2026-08-29 23:12:53,Direct Debit,Subscriptions,-14.02,Belgium,Direct Debit,0,0
T0006661,A000989,C00604,2025-06-06 01:23:49,Direct Debit,Telecom,-63.51,Netherlands,Direct Debit,0,0
T0003286,A001440,C00884,2024-01-21 13:47:07,Card Purchase,Retail,-73.33,Germany,Online,0,0
T0004951,A001722,C01063,2024-09-14 12:48:01,Interest,Interest,13.96,Germany,Mobile App,0,0
T0003021,A001131,C00690,2025-05-15 20:14:26,Cash Withdrawal,Cash,-50,Belgium,ATM,0,0
T0009029,A002826,C01725,2024-09-12 19:03:24,Cash Withdrawal,Cash,-150,Germany,ATM,0,0
T0002991,A002274,C01398,2024-11-18 00:24:04,Transfer In,Transfer,430.72,Belgium,Mobile App,0,0
T0000015,A000011,C00006,2024-05-17 16:33:09,Card Purchase,Entertainment,-34.45,Netherlands,Card Present,0,0
T0006413,A000687,C00421,2026-04-14 18:19:29,Direct Debit,Telecom,-84.02,Belgium,Direct Debit,0,0
T0009183,A001183,C00722,2024-08-17 16:00:21,Transfer Out,Transfer,-663.97,France,Bank Transfer,0,0
T0009120,A000254,C00159,2026-04-23 11:51:09,Transfer Out,Transfer,-904.14,Belgium,Bank Transfer,0,0
T0009653,A003067,C01881,2024-01-14 14:22:55,Transfer In,Transfer,483.17,Belgium,Mobile App,0,0
T0005698,A003378,C02066,2026-06-30 23:54:57,Transfer In,Transfer,161.17,Belgium,Bank Transfer,0,0
T0006390,A000728,C00445,2025-12-04 23:16:54,Transfer In,Transfer,628.6,Netherlands,Bank Transfer,0,0
T0006708,A002322,C01428,2024-12-28 10:10:44,Transfer In,Transfer,33.69,Belgium,Mobile App,0,0
T0007808,A002957,C01808,2026-02-20 18:07:00,Cash Withdrawal,Cash,-200,Belgium,ATM,0,0
T0006724,A000275,C00171,2025-07-10 04:51:40,Transfer In,Transfer,698.52,Germany,Bank Transfer,0,0
T0000937,A001725,C01064,2026-02-10 00:53:11,Interest,Interest,11.76,Belgium,Bank Transfer,0,0
T0009322,A001523,C00936,2026-04-30 09:39:07,Transfer Out,Transfer,-579.38,Belgium,Bank Transfer,0,0
T0007724,A002308,C01418,2025-05-05 22:59:07,Transfer In,Transfer,103.07,Belgium,Mobile App,0,0
T0006504,A000281,C00176,2025-11-15 05:25:27,Cash Withdrawal,Cash,-80,France,ATM,0,0
T0005767,A003817,C02332,2025-04-23 09:02:37,Card Purchase,Fuel,-100.78,France,Card Present,0,0
T0000064,A002853,C01743,2024-04-18 07:23:23,Card Purchase,Healthcare,-154.23,Belgium,Card Present,0,0
T0001050,A003279,C02011,2025-07-26 01:06:49,Transfer In,Transfer,346.11,Germany,Bank Transfer,0,0
T0002867,A001205,C00733,2024-08-27 15:02:19,Transfer In,Transfer,288.31,France,Bank Transfer,0,0
T0003834,A002100,C01290,2025-09-07 11:52:57,Transfer Out,Transfer,-991.32,Belgium,Mobile App,0,0
T0008962,A004000,C02445,2024-09-08 10:45:52,Transfer In,Transfer,147.35,France,Bank Transfer,0,0
T0007454,A003463,C02116,2024-07-07 23:36:53,Direct Debit,Housing,-634.67,Belgium,Direct Debit,0,0
T0006252,A001804,C01112,2024-04-29 22:19:33,Direct Debit,Subscriptions,-21.25,Belgium,Direct Debit,0,0
T0003185,A004088,C02500,2024-04-22 08:49:51,Card Purchase,Fuel,-51.49,Germany,Card Present,0,0
T0004573,A002609,C01597,2026-02-16 15:05:21,Transfer Out,Transfer,-106.86,Netherlands,Bank Transfer,0,0
T0009872,A003751,C02291,2025-03-02 18:51:44,Transfer Out,Transfer,-184.44,France,Bank Transfer,0,0
T0006868,A002859,C01746,2025-11-26 17:48:40,Cash Withdrawal,Cash,-150,Belgium,ATM,0,0
T0005962,A002227,C01367,2024-05-20 21:16:27,Transfer In,Transfer,710.46,France,Bank Transfer,0,0
T0004738,A001682,C01034,2024-10-11 02:26:03,Transfer In,Transfer,497.35,Belgium,Bank Transfer,0,0
T0002117,A002168,C01329,2026-06-23 11:19:46,Card Purchase,Travel,-306.86,Belgium,Card Present,0,0
T0003413,A003582,C02191,2026-05-04 15:12:12,Transfer In,Transfer,1439.12,,Bank Transfer,0,0
T0007795,A001150,C00702,2025-03-20 09:23:57,Card Purchase,Groceries,-63.1,Netherlands,Mobile App,0,0
T0008368,A001782,C01099,2025-04-08 23:26:28,Card Purchase,Travel,-142.3,Belgium,Online,0,0
T0007751,A002077,C01275,2025-07-21 23:43:45,Cash Withdrawal,Cash,-40,Belgium,ATM,0,0
T0008340,A000993,C00606,2026-05-20 05:31:01,Transfer In,Transfer,385.82,Belgium,Mobile App,0,0
T0007612,A001045,C00637,2024-09-15 09:10:07,Direct Debit,Telecom,-83.01,Germany,Direct Debit,0,0
T0002565,A002991,C01829,2024-09-22 05:20:47,Transfer Out,Transfer,-79.03,Belgium,Mobile App,0,1
T0003991,A001798,C01109,2024-06-24 19:04:16,Salary,Salary,2123.19,Germany,Mobile App,0,0
T0005509,A000705,C00430,2024-09-25 11:19:01,Card Purchase,E-commerce,-191.49,Luxembourg,Card Present,0,0
T0001513,A000498,C00310,2026-04-12 16:15:15,Transfer In,Transfer,777.23,Belgium,Bank Transfer,0,0
T0002702,A000876,C00536,2026-04-30 12:30:40,Card Purchase,Groceries,-70.11,France,Online,0,0
T0009159,A001940,C01189,2025-07-20 19:53:54,Card Purchase,Travel,-103.95,Netherlands,Card Present,0,0
T0001018,A003695,C02258,2025-07-07 22:34:22,Transfer In,Transfer,398.46,France,Mobile App,0,0
T0005388,A001506,C00925,2025-03-27 13:33:32,Transfer Out,Transfer,-483.81,Netherlands,Bank Transfer,0,0
T0009635,A003786,C02312,2024-07-24 22:14:01,Cash Withdrawal,Cash,-100,Belgium,ATM,0,0
T0001155,A001011,C00618,2026-04-16 16:10:17,Transfer Out,Transfer,-674.65,Netherlands,Mobile App,0,0
T0001539,A003838,C02345,2025-08-29 12:23:20,Direct Debit,Insurance,-112.79,Germany,Direct Debit,0,0
T0001942,A002835,C01730,2025-07-11 20:30:17,Card Purchase,Entertainment,-58.89,Belgium,Mobile App,0,0
T0006074,A004051,C02475,2025-05-09 22:09:55,Salary,Salary,3849.65,Belgium,Bank Transfer,0,0
T0009673,A001617,C00995,2026-03-08 12:31:39,Card Purchase,Entertainment,-8.32,Belgium,Card Present,0,0
T0004979,A002405,C01477,2026-05-19 20:37:08,Card Purchase,Retail,-30.17,Belgium,Card Present,0,0
T0000942,A002576,C01581,2025-09-01 21:28:52,Card Purchase,Dining,-46.11,France,Online,0,0
T0001872,A002785,C01703,2025-12-28 00:30:49,Transfer In,Transfer,351.56,Luxembourg,Mobile App,0,0
T0005889,A002252,C01384,2026-03-30 05:14:48,Transfer Out,Transfer,-243.99,Germany,Bank Transfer,0,0
T0002944,A000056,C00033,2024-07-14 01:12:33,Transfer Out,Transfer,-860.66,Belgium,Mobile App,0,0
T0005183,A003126,C01911,2024-05-07 23:43:14,Transfer In,Transfer,277.99,France,Bank Transfer,0,0
T0007422,A003347,C02048,2026-04-17 22:54:27,Transfer Out,Transfer,-144.99,Belgium,Bank Transfer,0,0
T0000133,A004009,C02451,2026-01-17 04:17:39,Transfer In,Transfer,594.96,Germany,Bank Transfer,0,0
T0005808,A000049,C00029,2024-12-29 22:26:45,Salary,Salary,2492.51,Netherlands,Mobile App,0,0
T0008945,A000373,C00233,2024-12-13 09:47:37,Transfer In,Transfer,134.37,France,Bank Transfer,0,0
T0003527,A003645,C02230,2026-08-25 04:49:52,Card Purchase,Retail,-65.15,Belgium,Mobile App,0,0
T0007965,A002236,C01373,2025-03-31 12:29:45,Transfer Out,Transfer,-171.24,Belgium,Mobile App,0,0
T0003293,A003628,C02219,2024-03-23 18:51:22,Transfer Out,Transfer,-304.53,France,Mobile App,0,0
T0006968,A002821,C01722,2025-05-07 14:59:49,Direct Debit,Telecom,-72.8,Germany,Direct Debit,0,0
T0002136,A002576,C01581,2024-06-21 23:00:53,Salary,Salary,3438.05,France,Bank Transfer,0,0
T0004498,A001145,C00700,2025-06-14 14:31:55,Transfer Out,Transfer,-220.24,Belgium,Mobile App,0,0
T0000120,A003352,C02051,2025-05-10 09:31:37,Cash Withdrawal,Cash,-100,Belgium,ATM,0,0
T0002476,A004070,C02487,2026-07-03 17:01:23,Transfer In,Transfer,119.55,France,Bank Transfer,0,0
T0006759,A003266,C02001,2025-08-20 11:11:09,Card Purchase,Entertainment,-20.69,Belgium,Card Present,0,0
T0001228,A001490,C00916,2025-11-12 11:28:06,Card Purchase,Groceries,-113.82,Belgium,Card Present,0,0
T0002343,A001433,C00879,2025-03-06 15:06:25,Direct Debit,Utilities,-192.58,Belgium,Direct Debit,0,0
T0007706,A000780,C00478,2024-01-31 06:19:09,Salary,Salary,3021.38,France,Bank Transfer,0,0
T0008055,A003945,C02413,2025-11-05 01:21:52,Card Purchase,Travel,-117.36,Belgium,Card Present,0,0
T0005581,A001034,C00631,2025-01-09 04:38:03,Transfer Out,,-241.62,Belgium,Mobile App,0,0
T0008864,A000674,C00414,2025-09-03 20:08:20,Interest,Interest,17.19,Luxembourg,Bank Transfer,0,0
T0002435,A002761,C01688,2026-08-31 12:05:38,Card Purchase,Dining,-27.59,Luxembourg,Card Present,1,0
T0002783,A004009,C02451,2024-01-03 08:37:36,Transfer Out,Transfer,-76.3,Germany,Mobile App,0,0
T0007873,A001085,C00661,2024-05-02 16:13:49,Card Purchase,Dining,-77.08,Belgium,Card Present,0,1
